Beschluss	Sg	Masc.Neut	Akk.Dat	Beschluss.Beschlus	3	3/10/2005 11:46:2	3/10/2005 12:22:53		195
Besitzansprüchen	Pl	Masc.Fem.Neut	Dat	Besitzansprüche.Besitzanspruche.Besitzansprüch.Besitzanspruch	1	3/10/2005 13:26:17	3/10/2005 13:26:17		196
Besonderheiten	Sg	Masc.Fem.Neut	Akk	Besonderheiten.Besonderheite.Besonderheit	2	3/10/2005 12:5:47	3/10/2005 12:6:5		197
Besorgnis	Sg	Fem	Dat	Besorgnis.Besorgni	1	3/10/2005 12:53:22	3/10/2005 12:53:22		198
Besseren	Sg	Masc.Neut	Gen	Besseren.Besser	3	3/10/2005 11:49:10	3/10/2005 12:1:20		199
Besserung	Sg	Fem	Dat	Besserung	2	3/10/2005 12:1:1	3/10/2005 12:1:20		200
Bestandteil	Sg	Masc.Fem	Nom	Bestandteil	5	3/10/2005 12:22:39	3/10/2005 12:58:59		201
Bestandteile	Sg	Masc.Fem	Dat	Bestandteile	1	3/10/2005 12:49:22	3/10/2005 12:49:22		202
Beste	Sg	Neut	Akk	Beste	7	3/10/2005 11:46:3	3/10/2005 11:51:15		203
Bestimmung	Sg	Fem	Nom	Bestimmung	1	3/10/2005 12:47:46	3/10/2005 12:47:46		204
Bestimmungswort	Sg	Neut	Akk	Bestimmungswort	1	3/10/2005 13:6:3	3/10/2005 13:6:3		205
Bestrafung	Sg	Fem	Nom.Dat	Bestrafung	4	3/10/2005 12:14:40	3/10/2005 12:14:55		206
Betonung	Sg	Fem	Akk	Betonung	1	3/10/2005 12:49:22	3/10/2005 12:49:22		207
Betrachten	Sg	Masc.Neut	Dat	Betrachten.Betrachte.Betracht	2	3/10/2005 11:57:2	3/10/2005 11:57:15		208
Betrachtung	Sg	Fem	Nom	Betrachtung	1	3/10/2005 11:50:6	3/10/2005 11:50:6		209
Betrag	Sg	Masc.Fem	Nom	Betrag	1	3/10/2005 12:35:57	3/10/2005 12:35:57		210
Betreffzeile	Sg	Fem	Dat	Betreffzeile	2	3/10/2005 12:1:1	3/10/2005 12:1:20		211
Betrugs	Sg	Masc.Neut	Gen	Betrug	1	3/10/2005 11:49:10	3/10/2005 11:49:10		212
Bettelei	Sg	Masc.Fem.Neut	Nom	Bettelei	2	3/10/2005 13:30:6	3/10/2005 13:30:22		213
Betten	Sg	Masc.Fem.Neut	Akk	Betten.Bette.Bett	2	3/10/2005 11:56:9	3/10/2005 11:56:23		214
Betätigung	Sg	Masc.Fem.Neut	Nom	Betätigung	2	3/10/2005 12:43:8	3/10/2005 12:43:12		215
Beugung	Sg	Fem	Akk	Beugung	1	3/10/2005 11:46:3	3/10/2005 11:46:3		216
Bevölkerung	Sg.Pl	Fem	Dat	Bevölkerung	4	3/10/2005 12:26:34	3/10/2005 12:26:43		217
